Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
60.3,195601565,16,12225097.8,9812942.5,1140909,44714651,10532481.0,cuLibraryLoadData
27.3,88376106,96,920584.4,17297.0,6307,21560088,3336939.6,cudaLaunchKernel
3.3,10835378,125,86683.0,12812.0,9659,2556204,321949.3,cudaMemcpyAsync
2.0,6507992,15,433866.1,14784.0,9166,6222666,1601507.8,cudaLaunchKernelExC_v11060
1.8,5808721,13,446824.7,415324.0,3351,963603,330594.6,cudaMalloc
1.7,5616437,22,255292.6,31834.5,11236,3938483,830818.5,cuLibraryUnload
1.3,4258793,125,34070.3,20894.0,1774,528962,50696.8,cudaStreamSynchronize
0.6,1962291,17,115428.9,1281.0,394,394528,167362.6,cuLibraryGetKernel
0.4,1173240,2281,514.4,99.0,0,314499,9965.2,cuGetProcAddress_v2
0.3,1093503,1,1093503.0,1093503.0,1093503,1093503,0.0,cudaHostAlloc
0.3,985871,133,7412.6,690.0,492,882095,76420.2,cudaStreamIsCapturing_v10000
0.2,798616,2,399308.0,399308.0,323566,475050,107115.4,cudaFree
0.2,778807,9,86534.1,10742.0,197,539902,179516.8,cudaMemsetAsync
0.1,327707,16,20481.7,690.0,591,313514,78146.5,cudaStreamCreateWithFlags
0.0,30161,90,335.1,296.0,98,1084,193.7,cuKernelGetName
0.0,13898,19,731.5,296.0,197,2858,849.2,cudaEventCreateWithFlags
0.0,13602,7,1943.1,1972.0,1577,2267,299.6,cuInit
0.0,4436,6,739.3,148.0,99,3745,1473.3,cuModuleGetLoadingMode
0.0,1873,3,624.3,394.0,296,1183,486.3,cudaGetDriverEntryPointByVersion_v12050
