Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
62.0,282132429565,13,21702494581.9,25648095640.0,135254,25649075234,9631761418.3,pthread_cond_wait
23.3,105830622808,1067,99185213.5,100129079.0,1165,101283890,9189951.3,poll
7.5,34219628342,15800,2165799.3,236771.0,1060,26888038123,213908476.3,read
5.2,23498619256,474,49575146.1,50078108.0,1056743,50188699,4585773.2,clock_nanosleep
1.9,8549752134,7830,1091922.4,1136969.0,2129,3468532,457510.2,open64
0.0,137433915,1264,108729.4,6998.0,1069,12875331,541908.0,ioctl
0.0,124053472,22310,5560.4,4709.0,2430,294704,4755.2,munmap
0.0,78014164,12,6501180.3,5550848.0,5307344,15089103,2756633.7,fork
0.0,70959781,22556,3145.9,2623.0,1575,323812,3811.7,mmap64
0.0,35450971,43,824441.2,2722.0,1361,18915456,3422433.4,fread
0.0,16029173,7,2289881.9,823600.0,133898,11757487,4186032.7,sem_wait
0.0,11441519,513,22303.2,1749.0,1069,8540043,379619.1,waitpid
0.0,7517010,15,501134.0,529277.0,42949,934932,232240.4,pthread_join
0.0,6644224,35,189835.0,18851.0,1927,1095436,278354.4,fopen64
0.0,6557115,4,1639278.8,12150.0,1846,6530969,3261134.8,pread
0.0,5073210,1,5073210.0,5073210.0,5073210,5073210,0.0,nanosleep
0.0,3106103,169,18379.3,11464.0,1068,246898,26578.1,pthread_cond_signal
0.0,2691859,12,224321.6,216394.0,54900,580679,127370.7,pthread_cond_timedwait
0.0,2565381,77,33316.6,3693.0,1166,715114,124126.5,fopen
0.0,2498626,26,96101.0,88183.5,82111,139455,19191.5,sleep
0.0,2104931,15,140328.7,133509.0,99501,229117,33621.8,pthread_create
0.0,1840013,61,30164.1,1734.0,1068,556637,97627.8,fclose
0.0,787767,5,157553.4,116987.0,89392,329489,97560.6,sem_timedwait
0.0,694170,12,57847.5,74770.5,3692,107565,39168.6,kill
0.0,346795,3,115598.3,136813.0,26819,183163,80302.0,pthread_mutex_lock
0.0,332219,29,11455.8,9133.0,3206,62283,10744.6,mmap
0.0,259106,31,8358.3,5556.0,1072,31763,7732.0,fgets
0.0,242649,14,17332.1,15107.5,1069,41504,13117.8,write
0.0,215599,48,4491.6,3935.0,1361,9325,2346.2,pipe2
0.0,68200,6,11366.7,2623.0,1069,31093,14718.8,pthread_cond_broadcast
0.0,66654,13,5127.2,3596.0,1554,17976,4341.2,open
0.0,29937,2,14968.5,14968.5,1069,28868,19656.9,fflush
0.0,8165,1,8165.0,8165.0,8165,8165,0.0,lstat
0.0,7281,4,1820.3,1405.5,1166,3304,996.7,sigaction
0.0,5540,3,1846.7,1458.0,1166,2916,937.5,stat
0.0,5149,3,1716.3,1555.0,1360,2234,458.8,fwrite
0.0,4860,4,1215.0,1070.0,1068,1652,291.3,fcntl
0.0,2818,2,1409.0,1409.0,1068,1750,482.2,pthread_mutex_trylock
0.0,2624,1,2624.0,2624.0,2624,2624,0.0,mprotect
