Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
55.4,4592592,4,1148148.0,1148140.0,1147861,1148451,246.3,"void at::native::<unnamed>::RowwiseMomentsCUDAKernel<double, double, (bool)0>(long, T2, const T1 *, T2 *, T2 *)"
10.1,835881,4,208970.3,211543.5,15517,397277,217425.6,void cutlass::Kernel2<cutlass_80_tensorop_d884gemm_32x32_16x5_tn_align1>(T1::Params)
9.7,806431,6,134405.2,105849.0,104108,193321,45545.8,void cutlass::Kernel2<cutlass_80_tensorop_d884gemm_32x64_16x4_tn_align1>(T1::Params)
9.6,793029,2,396514.5,396514.5,396406,396623,153.4,void cutlass::Kernel2<cutlass_80_tensorop_d884gemm_32x32_16x5_nn_align1>(T1::Params)
4.3,357878,2,178939.0,178939.0,178893,178985,65.1,"void <unnamed>::softmax_warp_forward<double, double, double, (int)4, (bool)0, (bool)0, (int)32>(T2 *, const T1 *, int, int, int, const bool *, int, bool)"
4.1,336236,2,168118.0,168118.0,167232,169004,1253.0,ampere_dgemm_64x64_tn
2.3,188408,4,47102.0,47343.0,46177,47545,625.2,"void at::native::<unnamed>::LayerNormForwardCUDAKernel<double, double, (bool)0>(long, const T1 *, const T2 *, const T2 *, const T1 *, const T1 *, T1 *)"
2.1,177866,2,88933.0,88933.0,88871,88995,87.7,"void at::native::<unnamed>::transform_bias_rescale_qkv_kernel<double, double, (bool)1>(torch::headeronly::detail::GenericPackedTensorAccessor<torch::headeronly::detail::TensorAccessor<c10::ArrayRef<long>, T1, (unsigned long)2, torch::headeronly::RestrictPtrTraits, long>, at::detail::IndexBoundsCheck<(unsigned long)3, long>, T1, (unsigned long)3, torch::headeronly::RestrictPtrTraits, long>, torch::headeronly::detail::GenericPackedTensorAccessor<torch::headeronly::detail::TensorAccessor<c10::ArrayRef<long>, T1, (unsigned long)0, torch::headeronly::RestrictPtrTraits, long>, at::detail::IndexBoundsCheck<(unsigned long)1, long>, T1, (unsigned long)1, torch::headeronly::RestrictPtrTraits, long>, torch::headeronly::detail::GenericPackedTensorAccessor<torch::headeronly::detail::TensorAccessor<c10::ArrayRef<long>, T1, (unsigned long)4, torch::headeronly::RestrictPtrTraits, long>, at::detail::IndexBoundsCheck<(unsigned long)5, long>, T1, (unsigned long)5, torch::headeronly::RestrictPtrTraits, long>, T1)"
0.8,68255,5,13651.0,16511.0,1866,16792,6589.6,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::CUDAFunctor_add<double>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.7,58057,2,29028.5,29028.5,28360,29697,945.4,"void cublasLt::epilogue::impl::globalKernel<(int)8, (int)32, double, double, double, (bool)1, (bool)1, (int)1>(int, int, long, T3 *, cublasLtEpilogue_t, int, T4 *, long, void *, long, long, long, T5 *, long, int *)"
0.4,34828,5,6965.6,6717.0,1835,12220,5117.7,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 6)]::operator ()() const::[lambda(double) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.2,17289,2,8644.5,8644.5,5877,11412,3913.8,"void gemv2T_kernel_val<int, int, double, double, double, double, (int)128, (int)16, (int)4, (int)4, (bool)0, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const double>, cublasGemvTensorStridedBatched<const double>, cublasGemvTensorStridedBatched<double>, double>>(T13, T6, T6)"
0.2,14180,1,14180.0,14180.0,14180,14180,0.0,"void gemmk1_kernel<int, double, (int)256, (int)5, (bool)0, (bool)0, (bool)0, (bool)0, cublasGemvTensorStridedBatched<const double>, cublasGemvTensorStridedBatched<const double>, cublasGemvTensorStridedBatched<double>, double, (int)0>(cublasGemmk1Params<T2, T9, T10, T11, T12, biasType<T11::value_type, T12>::type>)"
0.1,6343,2,3171.5,3171.5,2456,3887,1011.9,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 6)]::operator ()() const::[lambda(double) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,3514,2,1757.0,1757.0,1617,1897,198.0,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::AUnaryFunctor<double, double, double, at::native::binary_internal::MulFunctor<double>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
