Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
44.4,88133030,29,3039070.0,23027.0,10105,33906176,8110540.0,cudaLaunchKernel
41.7,82847193,22,3765781.5,487698.0,315772,15717106,5495672.8,cuLibraryLoadData
3.7,7289093,3,2429697.7,841897.0,128349,6318847,3386945.5,cuModuleLoad
3.6,7089957,38,186577.8,32206.5,2234,5993985,967605.8,cudaStreamSynchronize
2.0,3952041,8,494005.1,512231.5,2915,812875,227827.0,cudaMalloc
1.2,2474586,25,98983.4,680.0,292,807211,200047.7,cuLibraryGetKernel
0.9,1871995,12,155999.6,1117.5,485,1738691,498981.9,cuKernelGetFunction
0.9,1717189,38,45189.2,12552.0,11286,542060,114488.7,cudaMemcpyAsync
0.6,1252401,15,83493.4,22055.0,13894,783212,195291.2,cuLaunchKernel
0.4,839237,43,19517.1,778.0,583,794126,120941.7,cudaStreamIsCapturing_v10000
0.3,665941,880,756.8,97.0,0,272633,12840.7,cuGetProcAddress_v2
0.1,279337,1,279337.0,279337.0,279337,279337,0.0,cudaFree
0.0,72533,3,24177.7,30157.0,11831,30545,10694.3,cuModuleUnload
0.0,17301,8,2162.6,2527.5,291,3692,1335.9,cudaStreamGetCaptureInfo_v3_v12030
0.0,17100,18,950.0,340.5,194,6801,1616.7,cudaEventCreateWithFlags
0.0,12533,29,432.2,388.0,97,1166,255.2,cuKernelGetName
0.0,7482,4,1870.5,1894.5,1555,2138,310.8,cuInit
0.0,5834,4,1458.5,1360.5,195,2918,1467.7,cuModuleGetLoadingMode
0.0,2818,6,469.7,437.0,292,777,188.3,cudaMemsetAsync
0.0,1748,3,582.7,291.0,291,1166,505.2,cudaGetDriverEntryPointByVersion_v12050
