Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
59.4,284116782281,13,21855137098.5,25828649530.0,125506,25829217687,9699503128.9,pthread_cond_wait
26.6,127248640571,1281,99335394.7,100111002.0,1260,103975993,8231103.6,poll
7.2,34435818522,15261,2256458.9,239429.0,1068,27093813725,219318858.0,read
5.0,23854235977,481,49593006.2,50088437.0,1051376,50188467,4556323.6,clock_nanosleep
1.7,8371351349,7637,1096157.0,1160985.0,2044,3791891,461863.7,open64
0.0,128047983,1161,110291.1,3400.0,1068,9604112,560383.0,ioctl
0.0,109888476,16388,6705.4,5733.0,2721,158178,4490.5,munmap
0.0,78586712,12,6548892.7,5780690.5,5541566,13886497,2369202.9,fork
0.0,51757513,16627,3112.9,2627.0,1554,94379,2673.7,mmap64
0.0,27894019,24,1162250.8,16339.5,1360,12711184,3458871.5,fread
0.0,18738082,7,2676868.9,670150.0,102205,15311548,5575849.5,sem_wait
0.0,12086035,519,23287.2,2040.0,1067,3286462,207297.0,waitpid
0.0,6441390,13,495491.5,460213.0,9115,1136376,374648.6,pthread_join
0.0,6387637,3,2129212.3,18461.0,2137,6367039,3670074.6,pread
0.0,5834509,16,364656.8,148847.0,33939,3588714,867805.1,pthread_cond_timedwait
0.0,5579797,27,206659.1,19491.0,2237,2087872,466657.6,fopen64
0.0,5115729,1,5115729.0,5115729.0,5115729,5115729,0.0,nanosleep
0.0,2541210,152,16718.5,12150.0,1068,88222,13776.1,pthread_cond_signal
0.0,2451320,26,94281.5,88264.5,82630,149335,16104.6,sleep
0.0,2037356,57,35743.1,3112.0,1069,552925,113746.0,fopen
0.0,1606492,41,39182.7,2424.0,1069,422566,97875.9,fclose
0.0,1321348,5,264269.6,193156.0,78198,656672,236805.7,sem_timedwait
0.0,1221281,10,122128.1,122846.5,95684,143672,17480.8,pthread_create
0.0,594612,12,49551.0,49211.5,4461,102399,37771.9,kill
0.0,331434,35,9469.5,6509.0,1167,28688,7178.0,fgets
0.0,254806,13,19600.5,19353.0,1261,67332,18440.5,write
0.0,251731,2,125865.5,125865.5,43830,207901,116015.7,pthread_mutex_lock
0.0,244810,27,9067.0,9422.0,2334,16417,4130.3,mmap
0.0,219157,48,4565.8,4076.0,1358,8534,2642.2,pipe2
0.0,91660,7,13094.3,9540.0,1165,31217,13499.2,pthread_cond_broadcast
0.0,53538,13,4118.3,3497.0,1554,10199,2411.2,open
0.0,29052,1,29052.0,29052.0,29052,29052,0.0,fflush
0.0,24186,5,4837.2,1262.0,1067,17975,7375.2,sigaction
0.0,7287,1,7287.0,7287.0,7287,7287,0.0,lstat
0.0,4664,3,1554.7,1361.0,1263,2040,423.2,fwrite
0.0,4371,2,2185.5,2185.5,1554,2817,893.1,stat
0.0,4178,1,4178.0,4178.0,4178,4178,0.0,mprotect
0.0,1649,1,1649.0,1649.0,1649,1649,0.0,pthread_mutex_trylock
0.0,1069,1,1069.0,1069.0,1069,1069,0.0,dup2
