Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
25.4,141634551,39,3631655.2,2083679.0,216588,16213982,4069615.1,cuLibraryLoadData
25.3,141446247,3,47148749.0,350607.0,344421,140751219,81062116.9,cudaFree
19.0,105800479,118,896614.2,47213.5,9221,29078156,2995833.7,cudaLaunchKernel
8.3,46054843,7,6579263.3,536077.0,23291,43311210,16198542.5,cudaMalloc
7.3,40566261,3,13522087.0,1896299.0,1731696,36938266,20279172.9,cudaHostAlloc
4.9,27255468,2,13627734.0,13627734.0,13427536,13827932,283122.7,cuMemHostAlloc
2.4,13474934,2,6737467.0,6737467.0,5809,13469125,9520002.0,cuStreamCreate
1.7,9457925,186,50849.1,27664.5,4703,918272,92234.0,cudaMemcpyAsync
1.4,7997743,75,106636.6,922.0,381,546187,161205.9,cuLibraryGetKernel
1.2,6533758,271,24109.8,2951.0,368,2029457,125074.7,cudaStreamSynchronize
1.1,5967291,1,5967291.0,5967291.0,5967291,5967291,0.0,cuModuleLoad
0.5,2678794,3109,861.6,95.0,0,354044,15036.7,cuGetProcAddress_v2
0.4,2174971,3,724990.3,962996.0,3965,1208010,636330.2,cuStreamSynchronize
0.3,1808495,1,1808495.0,1808495.0,1808495,1808495,0.0,cuKernelGetFunction
0.2,1296817,32,40525.5,922.0,645,756897,146972.9,cudaStreamCreateWithFlags
0.2,998037,4,249509.3,206237.5,134910,450652,138574.2,cuModuleLoadData
0.1,617468,3,205822.7,115083.0,92215,410170,177339.0,cudaMemGetInfo
0.1,527862,521,1013.2,553.0,184,86774,3992.5,cudaStreamGetId_v12000
0.1,440500,25,17620.0,382.0,286,413858,82557.9,cudaEventCreateWithFlags
0.1,398350,269,1480.9,830.0,368,24898,2313.1,cudaEventRecord
0.0,246768,24,10282.0,415.0,184,237360,48367.7,cudaMemsetAsync
0.0,241541,2,120770.5,120770.5,37002,204539,118466.5,cuModuleUnload
0.0,190321,38,5008.4,738.0,277,133343,21470.5,cudaStreamIsCapturing_v10000
0.0,143709,6,23951.5,22038.5,14939,40851,10163.5,cuLaunchKernel
0.0,40996,118,347.4,277.0,92,955,176.5,cuKernelGetName
0.0,22173,11,2015.7,2120.0,1383,3689,640.4,cuInit
0.0,15030,10,1503.0,1244.5,553,3043,968.3,cudaStreamWaitEvent
0.0,12539,9,1393.2,1199.0,184,3780,1059.7,cudaEventQuery
0.0,9448,5,1889.6,1383.0,286,3796,1551.3,cudaStreamGetCaptureInfo_v3_v12030
0.0,8196,9,910.7,184.0,92,4150,1565.0,cuModuleGetLoadingMode
0.0,7008,4,1752.0,1798.5,368,3043,1124.6,cudaEventDestroy
0.0,3873,1,3873.0,3873.0,3873,3873,0.0,cudaEventCreate
0.0,1909,3,636.3,286.0,286,1337,606.8,cudaGetDriverEntryPointByVersion_v12050
