Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
39.1,2042728,1,2042728.0,2042728.0,2042728,2042728,0.0,"void cudf::io::parquet::detail::preprocess_string_offsets_kernel<(int)32, (unsigned long)1024>(cudf::io::parquet::detail::PageInfo *, cuda::std::__4::span<const cudf::io::parquet::detail::ColumnChunkDesc, (unsigned long)18446744073709551615>, cuda::std::__4::span<const unsigned long, (unsigned long)18446744073709551615>, cuda::std::__4::span<const bool, (unsigned long)18446744073709551615>, unsigned long, unsigned long)"
17.7,926879,1,926879.0,926879.0,926879,926879,0.0,void cutlass::Kernel2<cutlass_80_tensorop_d884gemm_32x64_16x4_tt_align1>(T1::Params)
15.7,819244,1,819244.0,819244.0,819244,819244,0.0,triton_poi_fused_addmm_relu_0
11.2,582715,1,582715.0,582715.0,582715,582715,0.0,"void gemv2T_kernel_val<int, int, double, double, double, double, (int)128, (int)16, (int)4, (int)4, (bool)0, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const double>, cublasGemvTensorStridedBatched<const double>, cublasGemvTensorStridedBatched<double>, double>>(T13, T6, T6)"
5.8,302123,1,302123.0,302123.0,302123,302123,0.0,"void cudf::io::parquet::detail::<unnamed>::decode_page_data_generic<unsigned char, (int)128, (cudf::io::parquet::detail::decode_kernel_mask)2>(cudf::io::parquet::detail::PageInfo *, cuda::std::__4::span<const cudf::io::parquet::detail::ColumnChunkDesc, (unsigned long)18446744073709551615>, unsigned long, unsigned long, cuda::std::__4::span<const bool, (unsigned long)18446744073709551615>, cuda::std::__4::span<unsigned long, (unsigned long)18446744073709551615>, cuda::std::__4::span<const unsigned long, (unsigned long)18446744073709551615>, unsigned int *)"
1.8,92073,1,92073.0,92073.0,92073,92073,0.0,"void cudf::io::parquet::detail::<unnamed>::decode_page_data_generic<unsigned char, (int)128, (cudf::io::parquet::detail::decode_kernel_mask)32>(cudf::io::parquet::detail::PageInfo *, cuda::std::__4::span<const cudf::io::parquet::detail::ColumnChunkDesc, (unsigned long)18446744073709551615>, unsigned long, unsigned long, cuda::std::__4::span<const bool, (unsigned long)18446744073709551615>, cuda::std::__4::span<unsigned long, (unsigned long)18446744073709551615>, cuda::std::__4::span<const unsigned long, (unsigned long)18446744073709551615>, unsigned int *)"
1.2,60196,1,60196.0,60196.0,60196,60196,0.0,"void cudf::io::parquet::detail::<unnamed>::decode_page_data_generic<unsigned char, (int)128, (cudf::io::parquet::detail::decode_kernel_mask)32768>(cudf::io::parquet::detail::PageInfo *, cuda::std::__4::span<const cudf::io::parquet::detail::ColumnChunkDesc, (unsigned long)18446744073709551615>, unsigned long, unsigned long, cuda::std::__4::span<const bool, (unsigned long)18446744073709551615>, cuda::std::__4::span<unsigned long, (unsigned long)18446744073709551615>, cuda::std::__4::span<const unsigned long, (unsigned long)18446744073709551615>, unsigned int *)"
0.7,34742,1,34742.0,34742.0,34742,34742,0.0,"void cub::detail::merge_sort::DeviceMergeSortBlockSortKernel<cub::detail::merge_sort::policy_selector_from_types<int *>, cuda::__4::counting_iterator<int, long>, cub::NullType *, int *, cub::NullType *, unsigned int, cudf::detail::simple_comparator<cudf::string_view>, int, cub::NullType>(bool, T2, T3, T4, T5, T6, T8 *, T9 *, T7, cub::detail::vsmem_t)"
0.5,27866,1,27866.0,27866.0,27866,27866,0.0,"void cub::detail::for_each::static_kernel<cub::detail::for_each::policy_selector, long, cub::DeviceFor::__op_wrapper_t<long, rmm::device_uvector<int> cudf::detail::reduce_by_row<cudf::detail::row::equality::device_row_comparator<(bool)0, cudf::nullate::DYNAMIC, cudf::detail::row::equality::nan_equal_physical_equality_comparator>>(cuco::static_set<int, cuco::extent<long, (unsigned long)18446744073709551615>, (cuda::std::__4::thread_scope)1, T1, cuco::linear_probing<(int)1, cudf::detail::row::hash::device_row_hasher<cudf::hashing::detail::MurmurHash3_x86_32, cudf::nullate::DYNAMIC>>, rmm::mr::polymorphic_allocator<char>, cuco::storage<(int)1>> &, int, cudf::duplicate_keep_option, rmm::cuda_stream_view, cuda::mr::__4::__version_bump_ver4_::resource_ref<cuda::mr::__4::device_accessible>)::[lambda(int) (instance 1)], cuda::__4::counting_iterator<int, long>>>(T2, T3)"
0.4,20146,1,20146.0,20146.0,20146,20146,0.0,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 6)]::operator ()() const::[lambda(double) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
