Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
82.4,1002031059296,43,23303047890.6,16297857.0,31285,71544526352,28984435921.8,pthread_cond_wait
11.8,143980979755,1447,99503095.9,100133135.0,1360,101798660,7268955.1,poll
2.9,35313978052,17769,1987392.5,241440.0,1068,27356398371,205222664.3,read
2.0,24704796593,498,49608025.3,50083770.0,1095156,50230011,4476273.3,clock_nanosleep
0.8,9907338810,8935,1108823.6,1170179.0,1943,4905225,452731.8,open64
0.0,250234970,6051,41354.3,2722.0,1068,16276562,382962.2,ioctl
0.0,133234066,19818,6722.9,5732.0,2138,247394,5143.2,munmap
0.0,95788200,12,7982350.0,7151249.0,6964899,17097065,2875145.5,fork
0.0,61735234,20107,3070.3,2527.0,1555,215425,3523.1,mmap64
0.0,29680259,28,1060009.3,13894.0,1069,13354101,3418927.0,fread
0.0,21109249,18,1172736.1,1068238.5,2041,3720710,1100336.6,pthread_mutex_lock
0.0,17042802,7,2434686.0,703621.0,122323,13238321,4771959.7,sem_wait
0.0,13986197,534,26191.4,2040.0,1069,6398757,307809.5,waitpid
0.0,10271159,22,466870.9,545691.0,10881,920479,298651.4,pthread_join
0.0,7950303,16,496893.9,194754.0,23715,2757730,749935.9,pthread_cond_timedwait
0.0,6376609,2,3188304.5,3188304.5,2235,6374374,4505782.7,pread
0.0,5192164,27,192302.4,22250.0,2138,1661537,395306.6,fopen64
0.0,5148716,1,5148716.0,5148716.0,5148716,5148716,0.0,nanosleep
0.0,4064696,217,18731.3,12825.0,1069,128780,17505.4,pthread_cond_signal
0.0,2500315,26,96166.0,86335.0,83274,176551,22435.4,sleep
0.0,2156676,20,107833.8,107864.5,77462,149773,17056.7,pthread_create
0.0,1977660,41,48235.6,2526.0,1068,523317,126654.8,fclose
0.0,1929328,62,31118.2,3595.5,1263,523379,101255.5,fopen
0.0,1772549,5,354509.8,176404.0,119741,725442,284080.7,sem_timedwait
0.0,625894,12,52157.8,54165.5,2915,108137,39934.9,kill
0.0,486426,18,27023.7,3935.5,1166,272918,62703.4,pthread_cond_broadcast
0.0,348022,35,9943.5,9620.0,2332,22055,4859.8,mmap
0.0,267698,32,8365.6,5635.5,1166,29050,6961.4,fgets
0.0,229233,12,19102.8,18608.0,1846,49846,14915.0,write
0.0,206867,48,4309.7,4129.5,1360,7675,2311.2,pipe2
0.0,66081,14,4720.1,4178.5,1652,14287,3236.8,open
0.0,29441,1,29441.0,29441.0,29441,29441,0.0,fflush
0.0,27116,3,9038.7,4471.0,1457,21188,10629.0,signal
0.0,27011,5,5402.2,1554.0,1166,20211,8300.4,sigaction
0.0,8455,3,2818.3,2915.0,2625,2915,167.4,fcntl
0.0,6802,1,6802.0,6802.0,6802,6802,0.0,lstat
0.0,5733,3,1911.0,2040.0,1555,2138,312.2,fwrite
0.0,5636,2,2818.0,2818.0,2623,3013,275.8,mprotect
0.0,4858,2,2429.0,2429.0,1846,3012,824.5,stat
0.0,3303,2,1651.5,1651.5,1457,1846,275.1,pthread_mutex_trylock
